Age Group,Gender,Occupation,Field of study or work,Average total screen time per day,Device used most frequently,Educational content (hours),Social Media (hours),Entertainment (hours),Online communication (hours),Work / Productivity apps (hours),Online shopping / browsing (hours),Use screen before sleep,Tried reducing screen time,Stress due to screen usage,Sleep affected by late use,Anxious without device,Compare with others,Lonely online,Tired after long screen,Eye strain or headache,Depression symptoms,Average sleep duration (hours),Sleep quality (1–5),Exercise frequency,Screen affects mental well-being,Feel addicted to devices,Try to limit screen time,Track screen time,Take regular breaks,Prioritize real-world activities,Screen time under control,Open to screen-health app,Helpful features,Preferred feedback method,Motivation to reduce screen time,Mental_Health_Status
18–24,Female,Employed,IT,More than 6 hours,Laptop/Desktop,1–2 hours,3–4 hours,3–4 hours,1–2 hours,3–4 hours,1–2 hours,Sometimes,Yes,3,4,3,5,3,3,1,3,6–7,4,3–4 days per week,Maybe,Yes,1,4,3,5,1,Yes,Wellness tips/Reminders,Weekly summary email,More free time,Healthy
45–54,Female,Employed,IT,More than 6 hours,Tablet,5–6 hours,5–6 hours,3–4 hours,3–4 hours,Less than 1 hour,Less than 1 hour,Rarely,Yes,5,4,3,3,4,3,1,2,7–8,1,Never,Yes,No,1,5,4,4,1,No,App lock timers,Weekly summary email,Improved mental health,Unhealthy
25–34,Male,Student,Non-IT,5–6 hours,Smartphone,More than 6 hours,5–6 hours,1–2 hours,5–6 hours,1–2 hours,3–4 hours,Often,Maybe,2,1,3,4,4,2,4,4,7–8,2,Never,Maybe,Yes,4,1,4,3,3,Yes,Daily usage reports,Weekly summary email,Improved mental health,Unhealthy
25–34,Female,Student,IT,More than 6 hours,Laptop/Desktop,Less than 1 hour,1–2 hours,Less than 1 hour,1–2 hours,3–4 hours,1–2 hours,Never,Maybe,2,5,5,3,5,4,3,3,6–7,4,3–4 days per week,Yes,Yes,3,3,1,5,1,Yes,Meditation or exercise suggestions,App notification,Improved mental health,Healthy
18–24,Female,Student,IT,3–4 hours,Laptop/Desktop,5–6 hours,1–2 hours,3–4 hours,5–6 hours,1–2 hours,Less than 1 hour,Rarely,No,4,4,2,4,3,3,4,1,6–7,4,1–2 days per week,Yes,Yes,4,1,2,4,5,Yes,Meditation or exercise suggestions,App notification,Better sleep,Healthy
18–24,Male,Student,Non-IT,3–4 hours,"Smartphone, Laptop/Desktop",3–4 hours,1–2 hours,1–2 hours,Less than 1 hour,1–2 hours,5–6 hours,Always,No,5,3,4,3,3,5,3,5,7–8,5,Daily,No,Not sure,5,3,2,5,2,Yes,Meditation or exercise suggestions,Dashboard view,Better sleep,Unhealthy
18–24,Female,Employed,IT,More than 6 hours,"Smartphone, Laptop/Desktop",More than 6 hours,3–4 hours,5–6 hours,3–4 hours,3–4 hours,1–2 hours,Always,No,3,4,1,3,1,1,3,4,7–8,3,3–4 days per week,Maybe,No,3,5,3,4,3,Yes,App lock timers,Weekly summary email,Improved mental health,Healthy
35–44,Female,Employed,Non-IT,5–6 hours,Smartphone,3–4 hours,3–4 hours,Less than 1 hour,5–6 hours,1–2 hours,Less than 1 hour,Always,Yes,3,3,4,4,4,4,3,5,5–6,5,Daily,Maybe,Maybe,4,3,4,3,1,Yes,Parental/family controls,Weekly summary email,Improved mental health,Unhealthy
25–34,Female,Employed,IT,More than 6 hours,Laptop/Desktop,5–6 hours,5–6 hours,3–4 hours,1–2 hours,1–2 hours,1–2 hours,Always,Yes,4,4,5,3,3,4,4,4,6–7,3,Never,Yes,Yes,3,5,3,3,3,Yes,App lock timers,Weekly summary email,Better sleep,Unhealthy
25–34,Female,Employed,IT,More than 6 hours,Smartphone,Less than 1 hour,1–2 hours,More than 6 hours,1–2 hours,3–4 hours,Less than 1 hour,Often,Yes,5,1,3,4,2,4,3,3,6–7,5,Daily,Yes,No,5,4,2,2,3,Yes,Daily usage reports,App notification,Improved mental health,Unhealthy
